Title,Date,Severity,Summary,Link
Ghost vulnerable to arbitrary file read via symlinks in content import,2023-08-15T20:35:20Z,Moderate,"CVE-2023-40028was published
                        forghost(npm)Aug 15, 2023",https://github.com/advisories/GHSA-9c9v-w225-v5rg
Yaklang Plugin's Fuzztag Component Allows Unauthorized Local File Reading,2023-08-15T20:08:17Z,Moderate,"CVE-2023-40023was published
                        forgithub.com/yaklang/yaklang(Go)Aug 15, 2023",https://github.com/advisories/GHSA-xvhg-w6qc-m3qq
Scancode.io Reflected Cross-Site Scripting (XSS) in license endpoint,2023-08-15T20:04:49Z,Moderate,"CVE-2023-40024was published
                        forscancodeio(pip)Aug 15, 2023",https://github.com/advisories/GHSA-6xcx-gx7r-rccj
"When `ui.isAccessAllowed` is `undefined`, the `adminMeta` GraphQL query is publicly accessible",2023-08-15T20:04:14Z,Moderate,"CVE-2023-40027was published
                        for@keystone-6/core(npm)Aug 15, 2023",https://github.com/advisories/GHSA-9cvc-v7wm-992c
PandasAI vulnerable to arbitrary code execution,2023-08-15T18:31:32Z,Critical,"CVE-2023-39661was published
                        forpandasai(pip)Aug 15, 2023",https://github.com/advisories/GHSA-8fp9-43pw-56vw
LangChain vulnerable to arbitrary code execution,2023-08-15T18:31:32Z,Moderate,"CVE-2023-38896was published
                        forlangchain(pip)Aug 15, 2023",https://github.com/advisories/GHSA-92j5-3459-qgp4
LangChain vulnerable to arbitrary code execution,2023-08-15T18:31:32Z,Moderate,"CVE-2023-38860was published
                        forlangchain(pip)Aug 15, 2023",https://github.com/advisories/GHSA-fj32-q626-pjjc
Alluxio vulnerable to arbitrary code execution,2023-08-15T18:31:32Z,Moderate,"CVE-2023-38889was published
                        fororg.alluxio:alluxio-parent(Maven)Aug 15, 2023",https://github.com/advisories/GHSA-xrrh-h86w-pwfj
llama-index vulnerable to arbitrary code execution,2023-08-15T18:31:32Z,Critical,"CVE-2023-39662was published
                        forllama-index(pip)Aug 15, 2023",https://github.com/advisories/GHSA-2xxc-73fv-36f7
LibreNMS Cross-site Scripting vulnerability,2023-08-15T03:31:32Z,High,"CVE-2023-4347was published
                        forlibrenms/librenms(Composer)Aug 15, 2023",https://github.com/advisories/GHSA-m6pf-cm3f-7876
Tornado vulnerable to HTTP request smuggling via improper parsing of `Content-Length` fields and chunk lengths,2023-08-14T21:34:17Z,Moderate,"GHSA-qppv-j76h-2rpxwas published
                        fortornado(pip)Aug 14, 2023",https://github.com/advisories/GHSA-qppv-j76h-2rpx
external-svg-loader Cross-site Scripting vulnerability,2023-08-14T21:32:27Z,Critical,"CVE-2023-40013was published
                        forexternal-svg-loader(npm)Aug 14, 2023",https://github.com/advisories/GHSA-xc2r-jf2x-gjr8
Svelecte item names vulnerable to execution of arbitrary JavaScript,2023-08-14T21:14:08Z,Moderate,"CVE-2023-38687was published
                        forsvelecte(npm)Aug 14, 2023",https://github.com/advisories/GHSA-7h45-grc5-89wq
`ed25519-dalek` Double Public Key Signing Function Oracle Attack,2023-08-14T21:10:29Z,Moderate,"GHSA-w5vr-6qhr-36ccwas published
                        fored25519-dalek(Rust)Aug 14, 2023",https://github.com/advisories/GHSA-w5vr-6qhr-36cc
lakeFS vulnerable to Arbitrary JavaScript Injection via Direct Link to HTML Files,2023-08-14T21:10:17Z,Moderate,"GHSA-9phh-r37v-34whwas published
                        forgithub.com/treeverse/lakefs(Go)Aug 14, 2023",https://github.com/advisories/GHSA-9phh-r37v-34wh
OpenNMS vulnerable to Cross-site Scripting,2023-08-14T18:32:59Z,Moderate,"CVE-2023-40311was published
                        fororg.opennms:opennms-webapp(Maven)Aug 14, 2023",https://github.com/advisories/GHSA-qfw7-pfxx-h9q2
